,Unnamed: 0,v_num,v_name,erup_num,erup_cat,vei,start_y,start_m,start_d,end_y,end_m,end_d,lat,lon,start,end,delta,start_img,sat_lats,sat_lons,start_img_available_in_api
60,60,261140,Marapi,22262,Confirmed Eruption,2.0,2018,4,27,2018,5,2,-0.38,100.47399999999999,2018-04-27,2018-05-02,5 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/04/27/thumbs/epic_1b_20180427010437.jpg,21.04248,163.205566,17
61,61,344020,San Cristobal,22266,Confirmed Eruption,1.0,2018,4,22,2018,4,22,12.702,-87.00399999999999,2018-04-22,2018-04-22,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/04/22/thumbs/epic_1b_20180422003633.jpg,18.596191,168.479004,13
62,62,261170,Kerinci,22274,Confirmed Eruption,1.0,2018,4,21,2020,2,16,-1.6969999999999998,101.264,2018-04-21,2020-02-16,666 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/04/21/thumbs/epic_1b_20180421005515.jpg,18.054199,163.469238,13
63,63,223020,Nyamuragira,22315,Confirmed Eruption,0.0,2018,4,18,2020,2,20,-1.4080000000000001,29.2,2018-04-18,2020-02-20,673 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/04/18/thumbs/epic_1b_20180418002712.jpg,16.369629,169.49707,13
64,64,233020,"Fournaise, Piton de la",22261,Confirmed Eruption,0.0,2018,4,3,2018,11,1,-21.244,55.708,2018-04-03,2018-11-01,212 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/04/03/thumbs/epic_1b_20180403000830.jpg,6.628418,170.939941,10
65,65,263200,Dieng Volcanic Complex,22263,Confirmed Eruption,1.0,2018,4,1,2018,4,1,-7.2,109.87899999999999,2018-04-01,2018-04-01,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/04/01/thumbs/epic_1b_20180401003633.jpg,5.273438,163.806152,13
66,66,282090,Kirishimayama,22257,Confirmed Eruption,3.0,2018,3,1,2018,6,27,31.934,130.862,2018-03-01,2018-06-27,118 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/03/01/thumbs/epic_1b_20180301004554.jpg,-14.143066,164.128418,12
67,67,352090,Sangay,22259,Confirmed Eruption,1.0,2018,2,25,2018,2,25,-2.005,-78.34100000000001,2018-02-25,2018-02-25,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/02/25/thumbs/epic_1b_20180225003633.jpg,-16.094971,167.497559,12
68,68,267020,Karangetang,22256,Confirmed Eruption,1.0,2018,2,2,2018,2,2,2.781,125.40700000000001,2018-02-02,2018-02-02,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/02/02/thumbs/epic_1b_20180202142543.jpg,-23.994141,-34.013672,6
69,69,283120,Kusatsu-Shiranesan,22258,Confirmed Eruption,1.0,2018,1,23,2018,1,23,36.618,138.528,2018-01-23,2018-01-23,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/01/23/thumbs/epic_1b_20180123000830.jpg,-25.847168,-176.535645,11
70,70,343100,San Miguel,22251,Confirmed Eruption,1.0,2018,1,14,2018,5,30,13.434000000000001,-88.26899999999999,2018-01-14,2018-05-30,136 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/01/14/thumbs/epic_1b_20180114003636.jpg,-26.594238,178.161621,12
71,71,273030,Mayon,22250,Confirmed Eruption,2.0,2018,1,13,2019,10,12,13.257,123.685,2018-01-13,2019-10-12,637 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/01/13/thumbs/epic_1b_20180113005515.jpg,-26.652832,173.671875,13
72,72,251002,Kadovar,22246,Confirmed Eruption,2.0,2018,1,5,2020,2,19,-3.608,144.588,2018-01-05,2020-02-19,775 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/01/05/thumbs/epic_1b_20180105010436.jpg,-26.682129,172.741699,10
73,73,351020,"Ruiz, Nevado del",22348,Uncertain Eruption,,2017,12,18,2017,12,18,4.8919999999999995,-75.324,2017-12-18,2017-12-18,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/12/18/thumbs/epic_1b_20171218001752.jpg,-24.528809,-174.675293,13
74,74,272020,Kanlaon,22249,Confirmed Eruption,2.0,2017,12,9,2017,12,9,10.412,123.132,2017-12-09,2017-12-09,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/12/09/thumbs/epic_1b_20171209005515.jpg,-22.507324,175.041504,11
75,75,264020,Agung,22241,Confirmed Eruption,3.0,2017,11,21,2019,6,13,-8.343,115.508,2017-11-21,2019-06-13,569 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/11/21/thumbs/epic_1b_20171121015634.jpg,-16.45752,156.09375,11
76,76,261230,Dempo,22248,Confirmed Eruption,1.0,2017,11,9,2017,11,9,-4.016,103.12100000000001,2017-11-09,2017-11-09,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/11/09/thumbs/epic_1b_20171109004555.jpg,-11.315918,169.672852,13
77,77,256010,Tinakula,22239,Confirmed Eruption,3.0,2017,10,21,2017,10,26,-10.386,165.804,2017-10-21,2017-10-26,5 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/10/21/thumbs/epic_1b_20171021005515.jpg,-3.295898,161.169434,12
78,78,290240,Sarychev Peak,22308,Confirmed Eruption,2.0,2017,10,12,2017,11,13,48.092,153.2,2017-10-12,2017-11-13,32 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/10/12/thumbs/epic_1b_20171012004554.jpg,0.065918,160.795898,13
79,79,282090,Kirishimayama,22242,Confirmed Eruption,2.0,2017,10,11,2017,10,17,31.934,130.862,2017-10-11,2017-10-17,6 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/10/11/thumbs/epic_1b_20171011002712.jpg,0.432129,165.241699,13
80,80,257030,Ambae,22240,Confirmed Eruption,3.0,2017,9,6,2018,10,30,-15.389000000000001,167.835,2017-09-06,2018-10-30,419 days 00:00:00.000000000,no-img,0,0,0
81,81,353010,Fernandina,22245,Confirmed Eruption,2.0,2017,9,4,2017,9,7,-0.37,-91.55,2017-09-04,2017-09-07,3 days 00:00:00.000000000,no-img,0,0,0
82,82,344020,San Cristobal,22252,Confirmed Eruption,3.0,2017,8,18,2017,11,11,12.702,-87.00399999999999,2017-08-18,2017-11-11,85 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/08/18/thumbs/epic_1b_20170818010437.jpg,9.008789,158.642578,18
83,83,261170,Kerinci,22273,Confirmed Eruption,1.0,2017,8,13,2017,8,13,-1.6969999999999998,101.264,2017-08-13,2017-08-13,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/08/13/thumbs/epic_1b_20170813003634.jpg,9.536133,167.299805,22
84,84,352090,Sangay,22231,Confirmed Eruption,2.0,2017,7,20,2017,10,26,-2.005,-78.34100000000001,2017-07-20,2017-10-26,98 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/07/20/thumbs/epic_1b_20170720004555.jpg,13.45459,173.48877,19
85,85,264050,Sangeang Api,22228,Confirmed Eruption,2.0,2017,7,15,2020,2,11,-8.2,119.07,2017-07-15,2020-02-11,941 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/07/15/thumbs/epic_1b_20170715005515.jpg,14.597168,172.873535,22
86,86,233020,"Fournaise, Piton de la",22224,Confirmed Eruption,0.0,2017,7,14,2017,8,28,-21.244,55.708,2017-07-14,2017-08-28,45 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/07/14/thumbs/epic_1b_20170714010437.jpg,14.831543,170.69458,21
87,87,252120,Ulawun,22225,Confirmed Eruption,1.0,2017,6,11,2017,11,3,-5.05,151.33,2017-06-11,2017-11-03,145 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/06/11/thumbs/epic_1b_20170611003633.jpg,23.928223,-178.637695,22
88,88,273010,Bulusan,22229,Confirmed Eruption,1.0,2017,6,5,2017,6,5,12.769,124.056,2017-06-05,2017-06-05,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/06/05/thumbs/epic_1b_20170605012319.jpg,25.224609,168.662109,13
89,89,261140,Marapi,22226,Confirmed Eruption,1.0,2017,6,4,2017,6,4,-0.38,100.47399999999999,2017-06-04,2017-06-04,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/06/04/thumbs/epic_1b_20170604003634.jpg,25.393066,-179.94873,21
90,90,300130,Karymsky,22230,Confirmed Eruption,3.0,2017,6,4,2018,1,27,54.049,159.44299999999998,2017-06-04,2018-01-27,237 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/06/04/thumbs/epic_1b_20170604003634.jpg,25.393066,-179.94873,21
91,91,357090,Copahue,22232,Confirmed Eruption,1.0,2017,6,4,2018,12,7,-37.856,-71.183,2017-06-04,2018-12-07,551 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/06/04/thumbs/epic_1b_20170604003634.jpg,25.393066,-179.94873,21
92,92,345020,Rincon de la Vieja,22208,Confirmed Eruption,2.0,2017,5,23,2018,3,15,10.83,-85.324,2017-05-23,2018-03-15,296 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2017/05/23/thumbs/epic_1b_20170523000830.jpg,26.242676,-177.502441,22
